Feature,Importance
pressure,0.6351445976658435
C5,0.06808678087101339
thermal conductivity_range,0.060502359573625264
weighted_std_dev_GSvolume_pa,0.016517601654235554
weighted_mean_NUnfilled,0.014629460380505744
weighted_mean_thermal conductivity,0.008857845809981665
weighted_std_dev_Electron affinity,0.007584595595862861
weighted_std_dev_GSmagmom,0.006629304907840584
Number of Elements,0.0063794148984867
Electron affinity_min,0.005436787189166446
Cu Specific Heat,0.004791428391530213
weighted_std_dev_boiling point,0.0045050903784684985
Cu Weight,0.003963295053270691
weighted_std_dev_atomic radius,0.0038286178245934173
weighted_std_dev_thermal conductivity,0.0038036808818187793
weighted_std_dev_NpUnfilled,0.003633503830757173
weighted_std_dev_NValence,0.0035021143086041207
O Specific Heat,0.003362055440105815
weighted_std_dev_NUnfilled,0.003228451021446346
weighted_std_dev_electronegativity,0.0031800792365913842
weighted_mean_atomic radius,0.0031501549659852957
C4,0.002956785479272971
weighted_mean_heat of vaporization,0.0029497255173671585
weighted_std_dev_Column,0.00288908311881396
weighted_mean_Electron affinity,0.0028653749858334626
C1,0.00285527464797121
C3,0.002807122273155541
weighted_std_dev_space group number,0.002692116224154009
weighted_mean_NValence,0.0026862883263575844
weighted_mean_crystal radius,0.002574578964099379
weighted_std_dev_cohensive energy,0.0025420535349325976
weighted_std_dev_NdValence,0.00247732537677985
weighted_std_dev_MendeleevNumber,0.002418138660742379
weighted_mean_atomic weight,0.002374502836006294
weighted_std_dev_crystal radius,0.002311609538107393
weighted_std_dev_Ionic radius,0.0022884153716896394
weighted_mean_melting point,0.0022788241889768733
crystal radius_mode,0.002172699411801629
weighted_std_dev_density,0.0021314649167777184
weighted_std_dev_specific heat,0.002116947327590923
C2,0.0020990902364985005
weighted_std_dev_NpValence,0.0020280166430771984
weighted_mean_heat of fusion,0.0020277466968199468
weighted_std_dev_heat of fusion,0.0019296592066009098
weighted_std_dev_melting point,0.0019245872252648434
weighted_mean_MendeleevNumber,0.0019125177428215541
weighted_mean_Ionization Energy,0.0018748942912719256
weighted_std_dev_heat of vaporization,0.0018735902753512724
NdValence_range,0.0018124469748243294
weighted_std_dev_Ionization Energy,0.0018042569257888147
weighted_mean_cohensive energy,0.0018030699215116038
weighted_mean_specific heat,0.0017913801217386018
density_mode,0.0017839952413253553
weighted_mean_boiling point,0.0017264402218765094
weighted_mean_space group number,0.0016859867616768607
weighted_mean_GSvolume_pa,0.0016782744522512317
weighted_mean_NdValence,0.0016513149347747106
weighted_std_dev_NfUnfilled,0.0016448250459624462
weighted_mean_density,0.0015916084238748805
weighted_std_dev_Row,0.0015551752090697145
weighted_mean_Column,0.0015236993893532923
weighted_mean_electronegativity,0.001451140447468752
weighted_mean_Number,0.001424927631675253
weighted_mean_Ionic radius,0.0013265691438501357
weighted_std_dev_Number,0.001323655408974305
O Weight,0.0012764824549979417
C6,0.0012713829505371663
weighted_mean_NdUnfilled,0.0011984265035947835
weighted_std_dev_atomic weight,0.0011572999266120695
weighted_std_dev_NdUnfilled,0.0011226651995274492
melting point_min,0.0010258309532013075
NValence_mode,0.001024426969848029
weighted_mean_NfUnfilled,0.0010208319494526023
weighted_mean_NpUnfilled,0.0009618496138391115
cohensive energy_range,0.0008672985936146004
weighted_mean_NpValence,0.000843186618671494
weighted_mean_Row,0.0008291927685679208
density_range,0.000789315955678566
electronegativity_range,0.0007228899287658615
MendeleevNumber_min,0.00071810194300004
Ionization Energy_mode,0.0007000144069780403
cohensive energy_min,0.0006894347215901612
NUnfilled_mode,0.0006839623781940231
