symbol,atomic radius,Ionic radius,crystal radius,atomic weight,boiling point,density,specific heat,heat of fusion,heat of vaporization,thermal conductivity,cohensive energy,melting point,electronegativity,GSvolume_pa,space group number,Ionization Energy,Electron affinity,Number,MendeleevNumber,Column,Row,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSbandgap,GSmagmom
H,120,0.25,0.1,1.008,20.28,0.00008988,14300,0.558,0.452,0.1805,0.751,13.81,2.2,6.615,194,13.598,72.769,1,92,1,1,1,0,0,0,1,1,0,0,0,1,7.853,0
He,140,0.31,,4.0026,4.22,0.0001785,5193.1,0.02,0.083,0.1513,,0.95,,12.305,225,24.587,-48,2,98,18,1,2,0,0,0,2,0,0,0,0,0,18.098,0
Li,182,1.45,0.9,7,1615,0.534,3570,3,147,85,1.63,453.65,0.98,16.59333333,229,5.392,59.632,3,1,1,2,1,0,0,0,1,1,0,0,0,1,0,0
Be,153,1.05,0.41,9.012183,2744,1.85,1820,7.95,297,190,3.32,1560,1.57,7.89,194,9.323,-48,4,67,2,2,2,0,0,0,2,0,0,0,0,0,0,0
B,192,0.85,0.25,10.81,4273,2.37,1030,50,507,27,5.81,2348,2.04,7.1725,166,8.298,26.989,5,72,13,2,2,1,0,0,3,0,5,0,0,5,1.524,0
C,170,0.7,0.29,12.011,4098,2.267,710,105,715,140,7.37,3823,2.55,5.64,194,11.26,121.776,6,77,14,2,2,2,0,0,4,0,4,0,0,4,4.496,0
N,155,0.65,0.3,14.007,77.36,0.0012506,1040,0.36,2.79,0.02583,4.92,63.15,3.04,14.76875,194,14.534,-6.8,7,82,15,2,2,3,0,0,5,0,3,0,0,3,6.437,0
O,152,0.6,1.21,15.999,90.2,0.001429,919,0.222,3.41,0.02658,2.6,54.36,3.44,9.105,12,13.618,140.975,8,87,16,2,2,4,0,0,6,0,2,0,0,2,0,0
F,135,0.5,1.19,18.99840316,85.03,0.001696,824,0.26,3.27,0.0277,0.84,53.53,3.98,9.7075,15,17.423,328.164,9,93,17,2,2,5,0,0,7,0,1,0,0,1,1.97,0
Ne,154,0.38,,20.18,27.07,0.0008999,1030,0.34,1.75,0.0491,0.02,24.56,,12.64,225,21.565,-116,10,99,18,2,2,6,0,0,8,0,0,0,0,0,13.088,0
Na,227,1.8,1.16,22.9897693,1156,0.97,1230,2.6,97.7,140,1.113,370.95,0.93,29.24333333,229,5.139,52.867,11,2,1,3,1,0,0,0,1,1,0,0,0,1,0,0
Mg,173,1.5,0.86,24.305,1363,1.74,1020,8.7,128,160,1.51,923,1.31,22.89,194,7.646,-40,12,68,2,3,2,0,0,0,2,0,0,0,0,0,0,0
