symbol,Atomic_Number,Row,Column,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,families,Metal,Nonmetal,Metalliod,Mendeleev_Number,l_quantum_number,metallic_valence,atomic weight,atomic radius,covalent radius,Zunger_radii_sum,Ionic radius,crystal radius,electronegativity,Gordy_electonegativity,Ionization Energy,polarizability(A^3),melting point,boiling point,density,specific heat,heat of fusion,heat of vaporization,thermal conductivity,heat_atomization(kJ/mol),cohensive energy,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber
H,1,1,1,1,0,0,0,1,1,0,0,0,1,7,0,1,0,92,0,0,1.008,120,32,1.25,0.25,0.1,2.2,7.1784,13.598,0.7,13.81,20.28,0.00008988,14300,0.558,0.452,0.1805,218,0,6.615,7.853,0,194
Li,3,2,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,7,182,133,1.61,1.45,0.9,0.98,3.2223,5.392,24.3,453.65,1615,0.534,3570,3,147,85,161,1.63,16.59333333,0,0,229
Be,4,2,2,2,0,0,0,2,0,0,0,0,0,2,1,0,0,67,0,2,9.012183,153,102,1.08,1.05,0.41,1.57,3.7942,9.323,5.6,1560,2744,1.85,1820,7.95,297,190,324,3.32,7.89,0,0,194
B,5,2,13,2,1,0,0,3,0,5,0,0,5,6,0,0,1,72,1,3,10.81,192,85,0.795,0.85,0.25,2.04,4.5951,8.298,3,2348,4273,2.37,1030,50,507,27,573,5.81,7.1725,1.524,0,166
C,6,2,14,2,2,0,0,4,0,4,0,0,4,7,0,1,0,77,1,4,12.011,170,75,0.64,0.7,0.29,2.55,5.6246,11.26,1.8,3823,4098,2.267,710,105,715,140,717,7.37,5.64,4.496,0,194
N,7,2,15,2,3,0,0,5,0,3,0,0,3,7,0,1,0,82,1,3,14.007,155,71,0.54,0.65,0.3,3.04,6.8834,14.534,1.1,63.15,77.36,0.0012506,1040,0.36,2.79,0.02583,473,4.92,14.76875,6.437,0,194
O,8,2,16,2,4,0,0,6,0,2,0,0,2,7,0,1,0,87,1,0,15.999,152,63,0.465,0.6,1.21,3.44,8.3703,13.618,0.793,54.36,90.2,0.001429,919,0.222,3.41,0.02658,249,2.6,9.105,0,0,12
F,9,2,17,2,5,0,0,7,0,1,0,0,1,8,0,1,0,93,1,0,18.99840316,135,64,0.405,0.5,1.19,3.98,10.0854,17.423,0.634,53.53,85.03,0.001696,824,0.26,3.27,0.0277,79,0.84,9.7075,1.97,0,15
Na,11,3,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,2,0,1,22.9897693,227,155,2.65,1.8,1.16,0.93,2.5378,5.139,23.6,370.95,1156,0.97,1230,2.6,97.7,140,109,1.113,29.24333333,0,0,229
Mg,12,3,2,2,0,0,0,2,0,0,0,0,0,2,1,0,0,68,0,2,24.305,173,139,2.03,1.5,0.86,1.31,2.9745,7.646,10.6,923,1363,1.74,1020,8.7,128,160,148,1.51,22.89,0,0,194
Al,13,3,13,2,1,0,0,3,0,5,0,0,5,5,1,0,0,73,1,3,26.981538,184,126,1.675,1.25,0.53,1.61,3.5237,5.986,8.3,933.437,2792,2.7,904,10.7,293,235,326,3.39,16.48,0,0,225
Si,14,3,14,2,2,0,0,4,0,4,0,0,4,6,0,1,0,78,1,4,28.085,210,116,1.42,1.1,0.4,1.9,4.1852,8.152,5.4,1687,3538,2.3296,710,50.2,359,150,452,4.63,20.44,0.773,0,227
P,15,3,15,2,3,0,0,5,0,3,0,0,3,7,0,1,0,83,1,3,30.973762,180,111,1.24,1,0.31,2.19,4.9591,10.487,3.6,317.3,553.65,1.82,769.7,0.64,12.4,0.236,315,3.43,22.5702381,1.625,0,2
S,16,3,16,2,4,0,0,6,0,2,0,0,2,7,0,1,0,88,1,2,32.07,180,103,1.1,1,0.43,2.58,5.8458,10.36,2.9,388.36,717.75,2.067,705,1.73,9.8,0.205,279,2.85,25.786875,2.202,0,70
Cl,17,3,17,2,5,0,0,7,0,1,0,0,1,8,0,1,0,94,1,0,35.45,175,99,1.01,1,1.67,3.16,6.8446,12.968,2.2,171.65,239.11,0.003214,478.2,3.2,10.2,0.0089,121,1.4,24.4975,2.493,0,64
K,19,4,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,3,0,1,39.0983,275,196,3.69,2.2,1.52,0.82,2.7882,4.341,43.4,336.53,1032,0.89,757,2.33,76.9,100,90,0.934,73.10666667,0,0,229
Ca,20,4,2,2,0,0,0,2,0,0,0,0,0,2,1,0,0,7,0,2,40.08,231,171,3,1.8,1.14,1,3.0128,6.113,22.8,1115,1757,1.54,631,8.54,155,200,178,1.84,37.77,0,0,225
Sc,21,4,3,2,0,1,0,3,0,0,9,0,9,3,1,0,0,11,2,3,44.95591,211,148,2.75,1.6,0.89,1.36,3.0728,6.561,17.8,1814,3109,2.99,567,16,318,16,378,3.9,22.235,0,6.35E-06,194
Ti,22,4,4,2,0,2,0,4,0,0,8,0,8,4,1,0,0,43,2,4,47.867,187,136,2.58,1.4,0.75,1.54,3.1359,6.828,14.6,1941,3560,4.5,520,18.7,425,22,470,4.85,16.69,0,2.25E-05,194
V,23,4,5,2,0,3,0,5,0,0,7,0,7,4,1,0,0,46,2,5,50.9415,179,134,2.43,1.35,0.68,1.63,3.2021,6.746,12.4,2183,3680,6,489,22.8,453,31,514,5.31,13.01,0,0,229
Cr,24,4,6,1,0,5,0,6,1,0,5,0,6,4,1,0,0,49,2,5.78,51.996,189,122,2.44,1.4,0.76,1.66,3.2713,6.767,11.6,2180,2944,7.15,448,20.5,339,94,397,4.1,11.19,0,0,229
Mn,25,4,7,2,0,5,0,7,0,0,5,0,5,4,1,0,0,52,2,5.78,54.93804,197,119,2.22,1.4,0.81,1.55,3.3437,7.434,9.4,1519,2334,7.3,479,13.2,220,7.8,281,2.92,10.48758621,0,0.000310121,217
Fe,26,4,8,2,0,6,0,8,0,0,4,0,4,4,1,0,0,55,2,5.78,55.84,194,116,2.11,1.4,0.69,1.83,3.419,7.902,8.4,1811,3134,7.874,449,13.8,347,80,418,4.28,10.73,0,2.1106628,229
Co,27,4,9,2,0,7,0,9,0,0,3,0,3,4,1,0,0,58,2,5.78,58.93319,192,111,2.02,1.35,0.54,1.88,3.4976,7.881,7.5,1768,3200,8.86,421,16.2,375,100,425,4.39,10.245,0,1.5484712,194
Ni,28,4,10,2,0,8,0,10,0,0,2,0,2,4,1,0,0,61,2,5.78,58.693,163,110,2.18,1.35,0.7,1.91,3.5791,7.64,6.8,1728,3186,8.912,445,17.2,378,91,430,4.44,10.32,0,0.5953947,225
Cu,29,4,11,1,0,10,0,11,1,0,0,0,1,4,1,0,0,64,2,5.44,63.55,140,112,2.04,1.35,0.71,1.9,3.6637,7.726,6.7,1357.77,2835,8.933,384.4,13.1,300,400,338,3.49,11.07,0,0,225
Zn,30,4,12,2,0,10,0,12,0,0,0,0,0,4,1,0,0,69,2,4.44,65.4,139,118,1.88,1.35,0.74,1.65,3.7515,9.394,6.4,692.68,1180,7.134,388,7.35,119,120,131,1.35,13.96,0,0,194
Ga,31,4,13,2,1,10,0,13,0,5,0,0,5,5,1,0,0,74,1,3.44,69.723,187,124,1.695,1.3,0.76,1.81,4.1672,5.999,8.1,302.91,2477,5.91,371,5.59,256,29,286,2.81,18.8575,0,0,64
Ge,32,4,14,2,2,10,0,14,0,4,0,0,4,6,0,0,1,79,1,4,72.63,211,121,1.56,1.25,0.53,2.01,4.6406,7.9,6.1,1211.4,3106,5.323,321.4,31.8,334,60,377,3.85,23.005,0.383,0,225
As,33,4,15,2,3,10,0,15,0,3,0,0,3,6,0,0,1,84,1,3,74.92159,185,121,1.415,1.15,0.72,2.18,5.172,9.815,4.3,1090,887,5.776,328,27.7,32.4,50,302,2.96,22.175,0,0,166
Se,34,4,16,2,4,10,0,16,0,2,0,0,2,7,0,1,0,89,1,2,78.97,190,116,1.285,1.15,0.56,2.55,5.761,9.752,3.8,493.65,958,4.809,321.2,5.4,26,0.52,227,2.46,25.92,0.799,0,14
Br,35,4,17,2,5,10,0,17,0,1,0,0,1,8,0,1,0,95,1,0,79.9,183,114,1.2,1.15,1.82,2.96,6.4079,11.814,3.1,265.95,331.95,3.11,947.3,5.8,14.8,0.12,112,1.22,29.48,1.457,0,64
Rb,37,5,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,4,0,1,85.468,303,210,4.1,2.35,1.66,0.82,3.1886,4.177,47.3,312.46,961,1.53,364,2.19,72,58,86,0.852,90.7225,0,0,229
Sr,38,5,2,2,0,0,0,2,0,0,0,0,0,2,1,0,0,8,0,2,87.62,249,185,3.21,2,1.32,0.95,3.3588,5.695,27.6,1050,1655,2.64,300,8,137,35,164,1.72,54.23,0,0,225
